ID,TDA_feat_0,TDA_feat_1,TDA_feat_2,TDA_feat_3,TDA_feat_4,TDA_feat_5,TDA_feat_6,TDA_feat_7,TDA_feat_8,TDA_feat_9,TDA_feat_10,TDA_feat_11,TDA_feat_12,TDA_feat_13,TDA_feat_14,TDA_feat_15,TDA_feat_16,TDA_feat_17,TDA_feat_18,TDA_feat_19,TDA_feat_20,TDA_feat_21,TDA_feat_22
12,1.4197887,1.4197887,1.4197887,1.4197887,1.4191889,1.4191889,1.4191889,5.919729,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,0.3683462,0.3683462,0.3683462,0.3247292,0.3247292,0.3247292,0.3247292,48.0,54.0
35,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,80.0,75.0
2,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,5.6264334,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,0.59935665,0.59935665,0.59935665,0.4295807,0.4295807,0.4295807,0.4295807,67.0,117.0
14,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4191889,5.919729,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,0.3683462,0.3683462,0.3683462,0.3247292,0.3247292,0.3247292,0.3247292,72.0,78.0
37,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,126.0,121.0
40,1.47,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,60.0,55.0
4,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,5.6264334,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,0.59935665,0.59935665,0.59935665,0.4295807,0.4295807,0.4295807,0.4295807,103.0,177.0
26,1.42,1.42,1.42,1.42,1.42,1.42,1.42,7.9052305,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,125.0,120.0
39,1.54,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,60.0,55.0
42,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,60.0,55.0
6,1.5399951,1.4394484,1.4342314,1.434141,1.4336228,1.4335921,1.4335297,5.0889025,1.0844058,1.080705,1.0794508,1.0774511,1.0766498,1.0740672,0.3139627,0.3095305,0.30743933,0.30743504,0.3068459,0.3024516,0.3016534,55.0,63.0
28,1.5399356,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,7.905213,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,0.41108608,0.41108513,0.41108322,0.4110794,0.4110775,0.41107655,0.4110756,61.0,81.0
31,1.42,1.42,1.42,1.42,1.42,1.42,1.42,7.9052305,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,61.0,56.0
17,1.5399932,1.447837,1.4474584,1.4443469,1.4373531,1.432127,1.4315648,5.174186,1.0733485,1.069066,1.0673144,1.0663979,1.0654058,1.0634791,0.34013987,0.30951834,0.3077407,0.30701494,0.30235577,0.30067086,0.3003068,48.0,44.0
20,1.6240342,1.4717082,1.4543492,1.453051,1.4530367,1.4498464,1.4489223,5.2974124,1.08136,1.0766923,1.0671377,1.0655661,1.0645696,1.0638604,0.30654478,0.30506563,0.30165887,0.29802537,0.29501867,0.2943344,0.29182744,48.0,39.0
33,1.42,1.42,1.42,1.42,1.42,1.42,1.42,7.9052305,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,61.0,56.0
7,1.469997,1.4394618,1.4342308,1.4341252,1.4336069,1.433589,1.4335327,5.088888,1.0844553,1.080727,1.0794485,1.0774355,1.076642,1.074054,0.313941,0.30953526,0.30744743,0.30742002,0.3068633,0.3024814,0.3016665,55.0,63.0
19,2.0899897,1.4478261,1.4474188,1.4443161,1.4374417,1.432176,1.43156,5.1733437,1.073346,1.0690798,1.067279,1.0663862,1.0654743,1.0634536,0.34016514,0.30956817,0.30770826,0.30709314,0.302315,0.30059576,0.30031633,48.0,44.0
22,1.8019972,1.6288992,1.6025206,1.5659838,1.5652772,1.5564057,1.5548458,5.1789412,1.3511109,1.0377266,1.0316066,1.0115616,1.0077713,0.99745595,0.31042242,0.27985024,0.27619028,0.2720368,0.25899434,0.25408077,0.24949527,43.0,38.0
11,1.7995002,1.5979068,1.5954962,1.5774617,1.5609188,1.506327,1.4995898,5.1720133,1.4351615,1.0436558,1.0267845,1.0193917,1.017356,1.0161761,0.32709837,0.275275,0.26899576,0.26820135,0.2637303,0.26340342,0.2621255,54.0,43.0
9,1.7456949,1.4801736,1.4641985,1.4595436,1.4413178,1.4375068,1.4367126,5.148859,1.1683278,1.0744867,1.072537,1.0676988,1.0672997,1.0658277,0.47611952,0.43459225,0.33042002,0.3196764,0.31905746,0.31175065,0.31020284,55.0,60.0
24,1.42,1.42,1.42,1.42,1.42,1.42,1.42,7.9052305,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,79.0,74.0
1,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,5.6264334,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,0.59935665,0.59935665,0.59935665,0.4295807,0.4295807,0.4295807,0.4295807,55.0,97.0
13,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4191889,5.919729,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,0.3683462,0.3683462,0.3683462,0.3247292,0.3247292,0.3247292,0.3247292,62.0,68.0
36,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,94.0,89.0
3,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,1.4195498,5.6264334,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,1.0399624,0.59935665,0.59935665,0.59935665,0.4295807,0.4295807,0.4295807,0.4295807,79.0,137.0
15,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4197887,1.4191889,5.919729,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,1.0397204,0.3683462,0.3683462,0.3683462,0.3247292,0.3247292,0.3247292,0.3247292,96.0,102.0
25,1.42,1.42,1.42,1.42,1.42,1.42,1.42,7.9052305,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,93.0,88.0
38,1.7799367,1.6700029,1.669982,1.4696025,1.4199977,1.4199977,1.4199977,8.525359,1.0390476,1.0390476,1.0390476,1.0390476,1.0390476,1.0390476,0.35854244,0.3585255,0.3585255,0.3585255,0.3585255,0.3585255,0.3585255,60.0,61.0
41,2.09,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,60.0,55.0
5,1.7800171,1.6700574,1.4695725,1.4695681,1.4395229,1.4341887,1.4341079,5.088697,1.0844051,1.0806974,1.0794537,1.0774584,1.0765902,1.0740898,0.31400967,0.30951977,0.30750346,0.3074155,0.3069589,0.3025241,0.30177712,55.0,63.0
27,1.7799388,1.6700021,1.6699818,1.4696039,1.4199984,1.4199984,1.4199984,7.905213,1.038662,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,0.41108704,0.41108322,0.4110775,0.4110775,0.41107655,0.41107655,0.4110756,62.0,82.0
30,2.0899355,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,7.905213,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,0.41108704,0.41108608,0.41108513,0.41108322,0.4110775,0.41107655,0.4110756,61.0,81.0
43,2.09,1.731499,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,61.0,55.0
16,1.7799933,1.6699975,1.4696084,1.4696043,1.4518427,1.4513961,1.4405272,5.1580815,1.0702132,1.0685065,1.0652176,1.0606853,1.0589943,1.0586699,0.3482833,0.3104186,0.30847502,0.30820346,0.3040421,0.29869986,0.29481292,48.0,43.0
29,1.4699355,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,7.905213,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,0.41108704,0.41108608,0.41108608,0.41108418,0.4110775,0.41107655,0.4110756,63.0,81.0
32,2.0899355,1.689276,1.4199984,1.4199984,1.4199984,1.4199984,1.4199984,7.905213,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,1.0386617,0.41108704,0.41108608,0.41108513,0.41108322,0.4110775,0.41107655,0.4110756,62.0,81.0
18,1.4700015,1.4489411,1.4458528,1.4455462,1.4422333,1.4397025,1.4327633,5.2019744,1.0733398,1.0711267,1.0694247,1.0685544,1.0680549,1.0673573,0.31181407,0.31074762,0.3056481,0.30490494,0.3019216,0.29890466,0.29128456,48.0,43.0
21,2.0900135,2.0899777,1.5389816,1.4227377,1.4203818,1.4198557,1.4166173,5.123406,1.0326695,1.0256053,1.0198601,1.0147704,1.0005722,0.9992329,0.296762,0.29484987,0.27382946,0.26884127,0.2645719,0.26052308,0.2572739,48.0,41.0
34,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,60.0,55.0
44,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,1.4199991,8.525383,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,1.0390437,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,0.35852838,60.0,55.0
10,2.0900123,2.090006,1.4228625,1.4221463,1.4215652,1.4214777,1.4213189,5.027501,1.0344081,1.0288154,1.0266334,1.0176841,1.0168641,1.0131003,0.27478814,0.26737475,0.266968,0.26258087,0.26095605,0.25968742,0.25736594,56.0,45.0
8,2.0900373,1.4340228,1.4338193,1.4335796,1.433533,1.4333373,1.4332834,5.1425753,1.0855551,1.0813802,1.0766252,1.075769,1.0736693,1.0727,0.3111503,0.31052613,0.30908918,0.3047669,0.30430317,0.30374599,0.3030243,55.0,59.0
23,1.42,1.42,1.42,1.42,1.42,1.42,1.42,7.9052305,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,1.0386578,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,0.411088,61.0,56.0
